1966	Roger Miller	My Uncle Used To Love Me But She Died (Single Version) by Roger Miller	but she died / Who'll bid me quarter, thirty cents for a ring of keys / Three sixty-five for a	https://genius.com/Roger-miller-my-uncle-used-to-love-me-but-she-died-single-version-lyrics
1966	Roger Miller	My Uncle Used to Love Me But She Died by Roger Miller	but she died / Who'll bid me quarter, thirty cents for a ring of keys / Three sixty-five for a	https://genius.com/Roger-miller-my-uncle-used-to-love-me-but-she-died-lyrics
1968	The Wind in the Willows	My Uncle Used to Love Me But She Died by The Wind in the Willows	but she died / Who'll bid me quarter, thirty cents for a ring of keys / Three sixty-five for a	https://genius.com/The-wind-in-the-willows-my-uncle-used-to-love-me-but-she-died-lyrics
1988	Kev Carmody	Black Bess by Kev Carmody	Saw a caged man with his bare hands bust through a brick wall / For forty-five years of his life	https://genius.com/Kev-carmody-black-bess-lyrics
1992	Kilo Ali	Kilo Is The Man by Kilo Ali	he do not play / Funky funky DJ from Atlanta GA / Kilo was born in nineteen seventy-tree / And now they	https://genius.com/Kilo-ali-kilo-is-the-man-lyrics
1995	Hinton Battle, Kevin Gray, Peter Cousens & Joanna Ampil	The Transaction by Hinton Battle, Kevin Gray, Peter Cousens & Joanna Ampil	She's sort of a virgin, well, more or less / For twenty more you get a room and key / For	https://genius.com/Hinton-battle-kevin-gray-peter-cousens-and-joanna-ampil-the-transaction-lyrics
1996	Silkk the Shocker	I Ain't Takin No Shorts by Silkk the Shocker	blue) / Mr. I gives a fuck, I gots this D 17, 5 a key / Birds, you haven't heard? / I	https://genius.com/Silkk-the-shocker-i-aint-takin-no-shorts-lyrics
1996	Star D	Gangsta Life by Star D	more pass, I'm slingin' weight / Nine hundred an ounce, twenty for a whole case / But since I'm comin	https://genius.com/Star-d-gangsta-life-lyrics
1996	WhoRidas	Shot Callin' & Big Ballin' by WhoRidas	on your way / Forty keys a week, knockin off zips a day with no sleep / Passed the peak at forty	https://genius.com/Whoridas-shot-callin-and-big-ballin-lyrics
1997	Remedy Ross	Everything is Real by Remedy Ross	beyond regional doubt / The stash house, next crash house / The thirty six Z's for a brick in the smash	https://genius.com/Remedy-ross-everything-is-real-lyrics
1998	La The Darkman	Gun Rule by La The Darkman	east / Me and Reef left them twenty hour stole four bricks, a hundred G's / Twenty-five a piece straight	https://genius.com/La-the-darkman-gun-rule-lyrics
1999	Mary J. Blige (Ft. Jadakiss)	Sexy by Mary J. Blige (Ft. Jadakiss)	week, top floor in the trunk / Just laying back blowing twenty five's a skull / The our keys by the	https://genius.com/Mary-j-blige-sexy-lyrics
1999	Silkk the Shocker (Ft. Fiend)	This For My... by Silkk the Shocker (Ft. Fiend)	my key and a half niggas / Facing 10 but took a plea for 3 and a half niggas / For niggas	https://genius.com/Silkk-the-shocker-this-for-my-lyrics
1999	Silkk the Shocker (Ft. Freedom)	This Is 4 My by Silkk the Shocker (Ft. Freedom)	my key and a half niggas / Facing 10 but took a plea for 3 and a half niggas / For niggas	https://genius.com/Silkk-the-shocker-this-is-4-my-lyrics
2002	50 Cent (Ft. G-Unit)	Whoo Kid Freestyle by 50 Cent (Ft. G-Unit)	Fucking Arabs just ran the fucking planes into the building / The coke price went up 10 grand this fucking week 	https://genius.com/50-cent-whoo-kid-freestyle-lyrics
2004	Plies	36 Ounces by Plies	of hope / 36 ounces of yola, nigga / That's a whole brick / And 'fore you lose that whole ounce, nigga	https://genius.com/Plies-36-ounces-lyrics
2005	AZ	The Truth by AZ	so many grams / We had platinum hands, nigga / And when coke went up, we had it for 27 / When we	https://genius.com/Az-the-truth-lyrics
