year,artist,song,performer,quote,price_k,kind,currency,city,confidence,flags,note,source,id,genius_url,genius_id,genius_year,lyric_location,wiki_title,wiki_birth_place,wiki_origin,wiki_top_city,annotation_url,annotation_text,annotation_votes,image,image_source,song_art,inferred_city,inferred_basis,inferred_url,inferred_confidence,home_city,home_city_source
1992,Pooh-Man,Niggas Ain't Playin',,Drop a key for twenty five like they was hot,25,sell,USD,"Oakland, CA",medium,,,lyric_search,1,https://genius.com/Pooh-man-niggas-aint-playin-lyrics,37477,1992,,Pooh-Man,,"Oakland, California, U.S",,,,,img/artists/pooh-man-3476.jpg,artist_photo,img/art/37477.jpg,,,,,"Oakland, CA",curated
1992,UGK,Pocket Full of Stones,Pimp C,"17-5, I got a bird on they ass",17.5,quoted,USD,"Port Arthur, TX",medium,,"17.5 read as $17,500 for the bird (kilo)",lyric_search,2,https://genius.com/Ugk-pocket-full-of-stones-lyrics,46886,1992,,Pimp C,"Crowley, Louisiana, U.S","Port Arthur, Texas, U.S",Port Arthur,https://genius.com/4696598,“17-5” or $17500 (usual amount of money for a kilo),3,img/artists/ugk-401.jpg,artist_photo,img/art/46886.jpg,,,,,"Port Arthur, TX",curated
1994,Kokane,All Bark No Bite,Kokane,Cause I gotta slang my funk at 17-5 a ki,17.5,sell,USD,"Los Angeles, CA",high,,,lyric_search,3,https://genius.com/Kokane-all-bark-no-bite-lyrics,26645,1994,,,,,,https://genius.com/10075164,He sells it for $17.500 for a kilo,0,img/artists/kokane-1423.jpg,artist_photo,img/art/26645.jpg,,,,,"Los Angeles, CA",curated
1995,Master P,Dead Presidents,Master P,25 G's for a key,25,quoted,USD,"New Orleans, LA / Richmond, CA",high,,,lyric_search,4,https://genius.com/Master-p-dead-presidents-lyrics,30587,1995,,Master P,"New Orleans, Louisiana, U.S",,New Orleans,,,,img/artists/master-p-142.jpg,artist_photo,img/art/30587.jpg,,,,,"New Orleans, LA / Richmond, CA",curated
1995,Raekwon,Striving for Perfection,Raekwon,"Fuck all this twenty for a brick shit, man",20,buy,USD,"New York, NY",high,,,lyric_search,5,https://genius.com/Raekwon-striving-for-perfection-lyrics,38411,1995,,Raekwon,"Brooklyn, New York City, U.S","Staten Island, New York City, U.S",Staten Island,,,,img/artists/raekwon-76.jpg,artist_photo,img/art/38411.jpg,,,,,"New York, NY",curated
1995,TRU,That's How We Break Bread,,"Cap a key for 10 and 12, my Mexican friends",11,buy,USD,"New Orleans, LA",medium,,range 10-12; midpoint used,lyric_search,6,https://genius.com/Tru-thats-how-we-break-bread-lyrics,46428,1995,,,,,,,,,img/artists/tru-9037.jpg,artist_photo,img/art/46428.jpg,,,,,"New Orleans, LA",curated
1996,Pimp Daddy,Pimp'n Ain't E-Z,,"For twenty two five, an ki for eleven five",11.5,quoted,USD,"New Orleans, LA",low,,ambiguous; 11.5 taken as kilo price,lyric_search,7,https://genius.com/Pimp-daddy-pimpn-aint-e-z-lyrics,37380,1996,,,,,,,,,img/artists/pimp-daddy-7521.jpg,artist_photo,img/art/37380.jpg,,,,,"New Orleans, LA",curated
1997,Hot Boys,Get it How U Live!!,,"Is you bout that white sauce, 10 a keys the cost",10,quoted,USD,"New Orleans, LA",high,,,lyric_search,8,https://genius.com/Hot-boys-get-it-how-u-live-lyrics,22745,1997,,Hot Boys,,"Uptown New Orleans, Louisiana, U.S",New Orleans,,,,img/artists/hot-boys-1663.jpg,artist_photo,img/art/22745.jpg,,,,,"New Orleans, LA",curated
1997,TRU,Swamp Nigga,Master P,"I got birds 16-5 a muthafuckin ki / Fool, when ya hit me, it's 18-5 / I gotta tax ya 2 G's",18.5,sell,USD,"New Orleans, LA",high,,"buys at 16.5, sells at 18.5",lyric_search,9,https://genius.com/Tru-swamp-nigga-lyrics,46410,1997,,Master P,"New Orleans, Louisiana, U.S",,New Orleans,,,,img/artists/master-p-142.jpg,artist_photo,img/art/46410.jpg,,,,,"New Orleans, LA",curated
1997,The Notorious B.I.G.,Niggas Bleed,The Notorious B.I.G.,"I got a hundred bricks, 14.5 a piece",14.5,quoted,USD,"Brooklyn, NY",high,,bulk (100 bricks) price,lyric_search,10,https://genius.com/The-notorious-big-niggas-bleed-lyrics,296,1997,,The Notorious B.I.G.,"New York City, U.S",,New York,https://genius.com/30241068,"100 bricks at 14.5 a piece is around $1,450,000 –  which is enough to buy  the things BIG mentions. In todays money, that is around $2,800,000.",5,img/artists/the-notorious-b-i-g-22.jpg,artist_photo,img/art/296.jpg,,,,,"Brooklyn, NY",curated
